,created_at,id,full_text,url,retweet_count,favorite_count,name,datetime,EST,text_length
19,Sun Oct 23 09:13:53 +0000 2022,1584110851652734976,"'Is it ever OK for a man NOT to pay? I spend $600 a month dating.'

The Moneyist: ‘Thanks to Silicon Valley commodifying people’s romantic lives, the economics of scale no longer support the old-fashioned notion that men should always pick up the bill.’

https://t.co/k05hj1Gi6C",https://trib.al/hyuTevz,2,6,MarketWatch,2022-10-23 09:13:53+00:00,2022-10-23 05:13:53-04:00,278
20,Sun Oct 23 08:46:43 +0000 2022,1584104015725744128,"The U.S. Treasury Department's plan to start to begin buying back some of its older debt, if adopted, would mark a milestone in the roughly $22.6 trillion U.S. government debt market, the world’s largest. https://t.co/JdoZfUhFn4",https://trib.al/2GmcbyK,14,22,MarketWatch,2022-10-23 08:46:43+00:00,2022-10-23 04:46:43-04:00,228
21,Sun Oct 23 08:20:27 +0000 2022,1584097405431345152,"Dear Moneyist,
I'm 34 and have aggressively saved so I can retire by 40. What do I do if my girlfriend just likes to spend and doesn't have the same financial goals?
 https://t.co/fAXvoJny4x",https://trib.al/6LqqE6J,1,7,MarketWatch,2022-10-23 08:20:27+00:00,2022-10-23 04:20:27-04:00,190
22,Sun Oct 23 07:53:14 +0000 2022,1584090558804680704,American Airlines is converting some of its current first-class seats on international flights to what the company is calling “Flagship Suites” on long-haul flights. Other first-class sections will be turned into more business-class seating. https://t.co/6oAO3fLF8D,https://trib.al/CkfAVR3,5,7,MarketWatch,2022-10-23 07:53:14+00:00,2022-10-23 03:53:14-04:00,265
23,Sun Oct 23 07:27:23 +0000 2022,1584084052897722368,"American Airlines is getting rid of first-class seats on international flights due to a lack of demand.
Some of the current first-class seating will be converted to what the company is calling “Flagship Suites” on long-haul flights, instead. https://t.co/dcnTCneHHT",https://trib.al/1yZnbYR,4,11,MarketWatch,2022-10-23 07:27:23+00:00,2022-10-23 03:27:23-04:00,265
24,Sun Oct 23 07:00:21 +0000 2022,1584077250713903104,"OPINION: From failed rallies to almost everyone throwing in the towel, a bear market typically follows nine stages. We are at Stage 4 now, our contributor Michael Sincere writes.

Here are some keys to success in the market, according to his advice.

https://t.co/lgnzs8Ayx2",https://trib.al/fSjKOfV,7,18,MarketWatch,2022-10-23 07:00:21+00:00,2022-10-23 03:00:21-04:00,274
25,Sun Oct 23 06:33:20 +0000 2022,1584070451818827777,"""We will not outlive our money. ...How can we give $10,000 to our nieces and nephews without offending the rest of the family?"" 

The Moneyist weights in: https://t.co/EuMtJKQbjp",https://trib.al/bhov92L,1,7,MarketWatch,2022-10-23 06:33:20+00:00,2022-10-23 02:33:20-04:00,178
26,Sun Oct 23 06:07:33 +0000 2022,1584063963113086976,"More than 60% of statewide markets measured by https://t.co/yYE7pfuiJQ saw rents drop in September compared to August — another sign of prices cooling down after soaring to dizzying highs earlier this year, according to a new analysis from the company. https://t.co/xjFZApTcwJ",http://Rent.com,10,15,MarketWatch,2022-10-23 06:07:33+00:00,2022-10-23 02:07:33-04:00,276
27,Sun Oct 23 05:42:12 +0000 2022,1584057582888443904,"OPINION: Diversify your portfolio, and build a strong cash position.

As we enter Stage 4 of the nine stages of a bear market, our contributor Michael Sincere has some advice on successful investing.

https://t.co/64hLh7GDkG",https://trib.al/YewzXrK,11,23,MarketWatch,2022-10-23 05:42:12+00:00,2022-10-23 01:42:12-04:00,224
28,Sun Oct 23 05:16:10 +0000 2022,1584051032199335936,"The experiences of hosts from all over the country, plus bookings and other data, show that occupancy may have fallen due to a variety of factors, including there being many more hosts on the platform, a rise in prices and travelers cutting back. https://t.co/r7GPzOd5or",https://trib.al/BcSVJt3,5,21,MarketWatch,2022-10-23 05:16:10+00:00,2022-10-23 01:16:10-04:00,270
